Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7nF","C_0603_1608Metric",53.000000,8.500000,180.000000,top
"C2","18pF","C_0603_1608Metric",21.200000,8.500000,0.000000,top
"C3","18pF","C_0603_1608Metric",18.250000,11.500000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",19.000000,14.500000,180.000000,top
"C5","0.1uF","C_0603_1608Metric",31.000000,14.000000,-90.000000,top
"C6","150uF","CP_Elec_6.3x5.4",12.400000,11.500000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",10.150000,18.350000,-90.000000,top
"J2","USB_A","USB-A-SMD_FUS270-FSBW5K",41.400000,11.962500,0.000000,top
"R1","33R","R_0603_1608Metric",19.000000,16.500000,180.000000,top
"R2","33R","R_0603_1608Metric",19.000000,18.000000,180.000000,top
"R3","1M","R_0603_1608Metric",53.000000,6.500000,0.000000,top
"R4","10K","R_0603_1608Metric",15.800000,17.150000,90.000000,top
"U1","MAX3421EEHJ+T","QFP50P700X700X120-32N",25.750000,16.738000,180.000000,top
"U2","TPS2065CDBVR","SOT95P280X145-5N",13.000000,17.750000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",21.000000,11.488000,90.000000,top
